514 x[14,4.2] -0.4687819189033419
515 x[14,5] -1.9802989035992298
516 x[14,6] -1.9802989035992287
1 t[0] 0
2 t[0.2] 0.06999999999999997
3 t[1] 0.13999999999999993
4 t[1.2] 0.2099999999999999
5 t[2] 0.2799999999999999
6 t[2.2] 0.3499999999999999
7 t[3] 0.41999999999999993
8 t[3.2] 0.48999999999999994
9 t[4] 0.5599999999999999
10 t[4.2] 0.6299999999999999
11 t[5] 0.7
12 t[6] 0.7
265 u[1,0] 0
266 u[1,0.2] 0
267 u[1,1] 0
268 u[1,1.2] 0
269 u[1,2] 0
270 u[1,2.2] 0
271 u[1,3] 0
272 u[1,3.2] 0
273 u[1,4] 0
274 u[1,4.2] 0
275 u[1,5] 0
276 u[1,6] 0
277 u[2,0] 0
278 u[2,0.2] 0
279 u[2,1] 0
280 u[2,1.2] 0
281 u[2,2] 0
282 u[2,2.2] 0
283 u[2,3] 0
284 u[2,3.2] 0
285 u[2,4] 0
286 u[2,4.2] 0
287 u[2,5] 0
288 u[2,6] 0
289 u[3,0] 0
290 u[3,0.2] 0
291 u[3,1] 0
292 u[3,1.2] 0
293 u[3,2] 0
294 u[3,2.2] 0
295 u[3,3] 0
296 u[3,3.2] 0
297 u[3,4] 0
298 u[3,4.2] 0
299 u[3,5] 0
300 u[3,6] 0
301 u[4,0] -4.534691670625225
302 u[4,0.2] -3.5061654290181945
303 u[4,1] -1.5944694702203197
304 u[4,1.2] -1.0043059053262147
305 u[4,2] -0.6838504309545428
306 u[4,2.2] -1.3264113684997325
307 u[4,3] -1.782752538045866
308 u[4,3.2] -5.347616573170973
309 u[4,4] -9.69636348017884
310 u[4,4.2] -3.5540903556301124
311 u[4,5] 1.3496950687803488
312 u[4,6] -0.0002881551796081109
313 u[5,0] 8.34983137057826
314 u[5,0.2] 6.010005913521099
315 u[5,1] 3.1534871614922784
316 u[5,1.2] 1.8585175225775226
317 u[5,2] 0.8553513097117653
318 u[5,2.2] 0.6782986022539079
319 u[5,3] 0.365589660890722
320 u[5,3.2] 1.3582209473183138
321 u[5,4] 2.606631306090956
322 u[5,4.2] -2.6217791939146604
323 u[5,5] -7.170084692069093
324 u[5,6] 5.2904115857674414e-05
325 u[6,0] 33.997964152205135
326 u[6,0.2] 28.565879429902456
327 u[6,1] 22.562120947008513
328 u[6,1.2] 15.101003610896935
329 u[6,2] 7.783743674037306
330 u[6,2.2] 0.32871504649629385
331 u[6,3] -7.18813286614595
332 u[6,3.2] -12.23631177422689
333 u[6,4] -16.881669514439338
334 u[6,4.2] -24.93709558953558
335 u[6,5] -32.428650442431575
336 u[6,6] 0.0001065769122673254
337 u[7,0] 27.639817929117484
338 u[7,0.2] 21.180270148325228
339 u[7,1] 14.662988407959208
340 u[7,1.2] 9.856323726034214
341 u[7,2] 5.106818994806087
342 u[7,2.2] 0.5983814451071436
343 u[7,3] -3.9355994412304063
344 u[7,3.2] -9.275747357487782
345 u[7,4] -14.680642622445175
346 u[7,4.2] -21.59943272800732
347 u[7,5] -28.400262422978546
348 u[7,6] -0.00011145595952650678
46333 f[1,1,0] -52.47573562432877
46334 f[1,1,0.2] -38.922646633881214
46335 f[1,1,1] -23.194895905616715
46336 f[1,1,1.2] -13.864931775319079
46337 f[1,1,2] -6.277940097350092
46338 f[1,1,2.2] 0.9687673568543334
46339 f[1,1,3] 9.207186566431597
46340 f[1,1,3.2] 19.294007686003653
46341 f[1,1,4] 29.967844495923107
46342 f[1,1,4.2] 43.3017966511383
