326 x[1,0] 0
16577 uL[3] -0.999997731475435
16578 uL[4] 0.9999996490311035
16579 uL[5] 0.9999998411939828
16580 uL[6] 0.9999998998387499
16581 uL[7] 0.999999928242182
16582 uL[8] 0.9999999450011626
16583 uL[9] 0.9999999560583058
16584 uL[10] 0.9999999639004379
16585 uL[11] 0.9999999697517893
16586 uL[12] 0.9999999742850382
16587 uL[13] 0.9999999779004813
16588 uL[14] 0.9999999780169045
16589 uL[15] 0.9999999741449673
16590 uL[16] 0.9999999683704425
16591 uL[17] 0.9999999598291645
16592 uL[18] 0.9999999464285951
16593 uL[19] 0.9999999232580657
16594 uL[20] 0.9999998755543272
16595 uL[21] 0.9999997297002762
16596 uL[22] -0.2774429481619531
16597 uL[23] -0.9999997193080795
16598 uL[24] -0.9999996213008402
16599 uR[0] 0.9999999099632887
16600 uR[1] 0.9999999684897074
16601 uR[2] 0.9999999742508591
16602 uR[3] 0.9999999782905099
16603 uR[4] 0.9999999783461707
16604 uR[5] 0.9999999748359186
16605 uR[6] 0.9999999704500232
16606 uR[7] 0.9999999648141467
16607 uR[8] 0.9999999573051203
16608 uR[9] 0.999999946802983
16609 uR[10] 0.9999999310727029
16610 uR[11] 0.9999999049165315
16611 uR[12] 0.9999998528316295
16612 uR[13] 0.999999698373432
16613 uR[14] -0.8996156420567913
16614 uR[15] -0.9999997279268865
16615 uR[16] -0.9999998751175806
16616 uR[17] -0.9999999230688547
16617 uR[18] -0.9999999463256497
16618 uR[19] -0.9999999597659185
16619 uR[20] -0.9999999683286523
16620 uR[21] -0.99999997411609
16621 uR[22] -0.9999999757662921
16622 uR[23] -0.9999999729851148
16623 uR[24] -0.9999999309825301
